Game,name,release,categories,genres,tags,playtime
10,Counter-Strike,2000,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,17612
20,Team Fortress Classic,1999,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,277
30,Day of Defeat,2003,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,187
40,Deathmatch Classic,2001,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,258
50,Half-Life: Opposing Force,1999,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,624
60,Ricochet,2000,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,175
70,Half-Life,1998,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,1300
80,Counter-Strike: Condition Zero,2004,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,427
130,Half-Life: Blue Shift,2001,Single-player,Action,FPS;Action;Sci-fi,361
220,Half-Life 2,2004,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,691
240,Counter-Strike: Source,2004,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,6842
280,Half-Life: Source,2004,Single-player,Action,FPS;Action;Sci-fi,190
300,Day of Defeat: Source,2010,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer,1356
320,Half-Life 2: Deathmatch,2004,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,311
340,Half-Life 2: Lost Coast,2005,Single-player;Commentary available,Action,FPS;Action;Singleplayer,46
360,Half-Life Deathmatch: Source,2006,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,102
380,Half-Life 2: Episode One,2006,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,281
400,Portal,2007,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,288
420,Half-Life 2: Episode Two,2007,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,354
440,Team Fortress 2,2007,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,8495
500,Left 4 Dead,2008,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,897
550,Left 4 Dead 2,2009,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,1615
570,Dota 2,2013,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,23944
620,Portal 2,2011,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person,1102
630,Alien Swarm,2010,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action,371
730,Counter-Strike: Global Offensive,2012,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,22494
1002,Rag Doll Kung Fu,2005,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer,0
1200,Red Orchestra: Ostfront 41-45,2006,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS,232
1250,Killing Floor,2009,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op,1328
1300,SiN Episodes: Emergence,2006,Single-player;Stats,Action,Action;FPS;Cyberpunk,0
1500,Darwinia,2005,Single-player,Indie;Strategy,Strategy;Indie;RTS,182
1510,Uplink,2006,Single-player,Indie;Strategy,Hacking;Indie;Strategy,65
1520,DEFCON,2006,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer,80
1530,Multiwinia,2008,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy,121
1600,Dangerous Waters,2006,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0
1610,Space Empires IV Deluxe,2006,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi,0
1630,Disciples II: Rise of the Elves ,2006,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy,0
1640,Disciples II: Gallean's Return,2006,Single-player;Multi-player;Co-op,Strategy,Turn-Based Strategy;Strategy;Classic,9
1670,Iron Warriors: T - 72 Tank Command ,2006,Single-player;Multi-player,Strategy,Simulation;Strategy;Tanks,0
1690,Space Empires V,2006,Single-player;Multi-player,Strategy,Strategy;4X;Space,35
1700,Arx Fatalis,2007,Single-player,RPG,RPG;First-Person;Classic,11
1840,Source Filmmaker,2012,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,239
1900,Earth 2160,2006,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy,Strategy;RTS;Sci-fi,405
1930,Two Worlds Epic Edition,2009,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy,484
2100,Dark Messiah of Might & Magic,2006,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG,RPG;Action;First-Person,634
2200,Quake III Arena,2007,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic,123
2210,Quake IV,2011,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Shooter,36
2270,Wolfenstein 3D,2007,Single-player;Steam Cloud,Action,FPS;Classic;Action,69
2280,Ultimate Doom,2007,Single-player;Steam Cloud,Action,Classic;FPS;Action,125
2290,Final DOOM,2007,Single-player;Steam Cloud,Action,FPS;Action;Classic,120
2300,DOOM II,2007,Single-player;Multi-player;Steam Cloud,Action,Classic;FPS;Action,90
2310,QUAKE,2007,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Classic;Action,167
2320,QUAKE II,2007,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Action;Classic,291
2330,QUAKE II Mission Pack: The Reckoning,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Classic,32
2340,QUAKE II Mission Pack: Ground Zero,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,1
2350,QUAKE III: Team Arena,2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Competitive,0
2360,HeXen: Beyond Heretic,2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,50
2370,HeXen: Deathkings of the Dark Citadel,2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,0
2390,Heretic: Shadow of the Serpent Riders,2007,Single-player;Multi-player;Steam Cloud,Action,Classic;Action;FPS,0
2400,The Ship: Murder Party,2006,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Action;Indie;RPG,Multiplayer;Indie;Action,233
2450,Bloody Good Time,2010,Single-player;Multi-player;Steam Achievements,Action,Action;Multiplayer;FPS,193
2500,Shadowgrounds,2006,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Sci-fi;Top-Down Shooter,186
2520,Gumboy - Crazy Adventures™,2006,Single-player,Casual;Indie,Casual;Indie;Singleplayer,0
2590,Alpha Prime,2007,Single-player,Action,Action;FPS;Sci-fi,0
2600,Vampire: The Masquerade - Bloodlines,2007,Single-player,Action,RPG;Vampire;Cult Classic,350
2610,GUN™,2006,Single-player,Action,Western;Action;Open World,462
2620,Call of Duty®,2006,Single-player;Multi-player,Action,FPS;World War II;Action,545
2630,Call of Duty® 2,2006,Single-player;Multi-player,Action,Action;World War II;FPS,750
2640,Call of Duty: United Offensive,2006,Single-player;Multi-player,Action,Action;World War II;FPS,0
2710,Act of War: Direct Action,2008,Single-player;Multi-player,Action,Action;Strategy;RTS,0
2720,ThreadSpace: Hyperbol,2007,Single-player;Multi-player;Includes level editor,Action;Indie;Strategy,Strategy;Action;Indie,0
2780,ARMA: Combat Operations,2008,Single-player;Multi-player;Includes level editor,Action,Action;Simulation;Shooter,0
2800,X2: The Threat,2006,Single-player;Captions available;Steam Cloud,Strategy,Space;Strategy;Simulation,732
2810,X3: Reunion,2006,Single-player;Captions available;Steam Cloud,Strategy,Space;Simulation;Strategy,831
2820,X3: Terran Conflict,2008,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Simulation;Strategy,Space;Simulation;Sci-fi,972
2840,X: Beyond the Frontier,2010,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Space;Strategy,648
2850,X: Tension,2010,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Strategy;Space,13
2870,X Rebirth,2013,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sci-fi,1744
2900,688(I) Hunter/Killer,2006,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0
2910,Fleet Command,2006,Single-player,Strategy,Strategy;Simulation;Naval,0
2920,Sub Command,2006,Single-player;Multi-player;Co-op;Includes level editor,Strategy,Strategy;Simulation;Naval,0
2990,FlatOut 2™,2006,Single-player,Racing,Racing;Destruction;Multiplayer,293
3010,Xpand Rally,2006,Single-player;Multi-player,Racing,Racing;Multiplayer,939
3020,Call of Juarez™,2007,Single-player;Multi-player;Steam Trading Cards,Action,Western;Action;FPS,46
3050,Xpand Rally Xtreme,2008,Single-player;Multi-player,Racing,Racing;Offroad;Simulation,0
3130,Men of War: Red Tide,2009,Single-player;Steam Cloud,Strategy,Strategy;World War II;RTS,0
3170,King's Bounty: Armored Princess,2009,Single-player;Steam Cloud,RPG;Strategy,RPG;Turn-Based Strategy;Strategy,1422
3230,Genesis Rising,2007,Single-player;Multi-player,Strategy,Strategy;Space;Sci-fi,0
3260,Safecracker: The Ultimate Puzzle Adventure,2007,Single-player,Adventure;Casual,Puzzle;Adventure;Casual,1
3270,Painkiller Overdose,2007,Single-player;Multi-player,Action,Action;FPS;Shooter,270
